BG10391 RacX 
BG10149 RadA 
BG10325 RadC 
BG10652 RapA 
BG11965 RapB 
BG11966 RapC 
BG11967 RapD 
BG11299 RapE 
BG11968 RapF 
BG11466 RapG 
BG11031 RapH 
BG12119 RapI 
BG12663 RapJ 
BG12664 RapK 
BG10270 RbfA 
BG10879 RbsA 
BG10881 RbsB 
BG10880 RbsC 
BG10878 RbsD 
BG10877 RbsK 
BG10876 RbsR 
BG10721 RecA 
BG10068 RecF 
BG13399 RecG 
BG10310 RecN 
BG11189 RecO 
BG11407 RecQ 
BG10085 RecR 
BG10953 RecU 
BG12665 RelA 
BG10531 ResA 
BG10532 ResB 
BG10533 ResC 
BG10534 ResD 
BG10535 ResE 
BG10416 Rho 
BG10520 RibA 
BG11495 RibC 
BG10518 RibD 
BG10519 RibE 
BG10521 RibH 
BG11969 RibR 
BG10522 RibT 
BG13404 RimM 
BG11332 RipX 
BG10530 RluB 
BG11537 Rnc 
BG12666 RnhB 
BG12324 RnhC 
BG10104 RnmV 
BG10063 RnpA 
BG14065 Rnr 
BG10622 RocA 
BG10623 RocB 
BG10624 RocC 
BG10722 RocD 
BG10933 RocE 
BG10932 RocF 
BG10621 RocG 
BG10723 RocR 
BG10588 RodA 
BG13307 Rok 
BG13393 Rpe 
BG10357 Rph 
BG10164 RplA 
BG11217 RplB 
BG11218 RplC 
BG11219 RplD 
BG10760 RplE 
BG11408 RplF 
BG10009 RplI 
BG11220 RplJ 
BG10163 RplK 
BG10726 RplL 
BG11970 RplM 
BG10758 RplN 
BG10444 RplO 
BG10755 RplP 
BG11041 RplQ 
BG11409 RplR 
BG12667 RplS 
BG11971 RplT 
BG10333 RplU 
BG11078 RplV 
BG11221 RplW 
BG10759 RplX 
BG10335 RpmA 
BG10777 RpmB 
BG10756 RpmC 
BG10443 RpmD 
BG10417 RpmE 
BG12668 RpmF 
BG14180 RpmGA 
BG10160 RpmGB 
BG10064 RpmH 
BG11972 RpmI 
BG11042 RpmJ 
BG10732 RpoA 
BG10728 RpoB 
BG10729 RpoC 
BG10409 RpoE 
BG19004 RpsB 
BG19005 RpsC 
BG10372 RpsD 
BG10442 RpsE 
BG10049 RpsF 
BG19006 RpsG 
BG10762 RpsH 
BG19007 RpsI 
BG19008 RpsJ 
BG10731 RpsK 
BG19009 RpsL 
BG10730 RpsM 
BG10761 RpsN 
BG19010 RpsO 
BG10831 RpsP 
BG10757 RpsQ 
BG10047 RpsR 
BG19011 RpsS 
BG11643 RpsT 
BG11648 RpsU 
BG12441 RsbP 
BG12442 RsbQ 
BG11090 RsbR 
BG11091 RsbS 
BG11092 RsbT 
BG11057 RsbU 
BG10733 RsbV 
BG10734 RsbW 
BG10736 RsbX 
BG10638 RsfA 
BG10537 RsiX 
BG10738 Rtp 
BG11973 RuvA 
BG12669 RuvB 
BG10596 SacA 
BG10388 SacB 
BG10320 SacC 
BG10595 SacP 
BG10593 SacT 
BG12670 SacV 
BG10560 SacX 
BG10559 SacY 
BG13781 SafA 
BG11845 SapB 
BG13378 Sat 
BG10467 SbcD 
BG12671 SboA 
BG14182 SboX 
BG10230 Sbp 
BG11153 ScoA 
BG11154 ScoB 
BG14183 Sda 
BG13398 SdaAA 
BG13397 SdaAB 
BG10352 SdhA 
BG10353 SdhB 
BG10351 SdhC 
BG11442 SeaA 
BG10741 SecA 
BG12672 SecDF 
BG10161 SecE 
BG14067 SecG 
BG10445 SecY 
BG10747 SenS 
BG10509 SerA 
BG12673 SerC 
BG10077 SerS 
BG10176 Sfp 
BG10314 SigA 
BG10735 SigB 
BG10751 SigD 
BG10235 SigE 
BG10298 SigF 
BG10236 SigG 
BG10159 SigH 
BG13269 SigI 
BG10748 SigL 
BG13019 SigM 
BG11974 SigV 
BG11573 SigW 
BG10536 SigX 
BG11975 SigY 
BG11976 SigZ 
BG10753 SinI 
BG10754 SinR 
BG10515 SipS 
BG11977 SipT 
BG11223 SipU 
BG12674 SipV 
BG11696 SipW 
BG11439 SleB 
BG10211 Slp 
BG11858 Slr 
BG11538 Smc 
BG11006 Smf 
BG14064 SmpB 
BG11676 SodA 
BG12676 SodF 
BG10055 Soj 
BG10212 SpeA 
BG12461 SpeB 
BG13832 SpeD 
BG12460 SpeE 
BG10202 SplA 
BG10203 SplB 
BG10528 SpmA 
BG10529 SpmB 
BG10765 Spo0A 
BG10336 Spo0B 
BG10769 Spo0E 
BG10411 Spo0F 
BG10054 Spo0J 
BG12229 Spo0M 
BG10296 SpoIIAA 
BG10297 SpoIIAB 
BG10912 SpoIIB 
BG10766 SpoIID 
BG10127 SpoIIE 
BG10234 SpoIIGA 
BG10540 SpoIIIAA 
BG10541 SpoIIIAB 
BG11410 SpoIIIAC 
BG11411 SpoIIIAD 
BG11412 SpoIIIAE 
BG11413 SpoIIIAF 
BG11414 SpoIIIAG 
BG11415 SpoIIIAH 
BG10919 SpoIIIC 
BG10408 SpoIIID 
BG10763 SpoIIIE 
BG10062 SpoIIIJ 
BG10768 SpoIIM 
BG10439 SpoIIP 
BG11978 SpoIIQ 
BG10937 SpoIIR 
BG12677 SpoIISA 
BG12678 SpoIISB 
BG10275 SpoIVA 
BG10311 SpoIVB 
BG10458 SpoIVCA 
BG10459 SpoIVCB 
BG10331 SpoIVFA 
BG10332 SpoIVFB 
BG10892 SpoVAA 
BG10893 SpoVAB 
BG10894 SpoVAC 
BG10895 SpoVAD 
BG10896 SpoVAE 
BG10508 SpoVAF 
