source	BG	Bsu	Bmo	Bam	Bli	Bpu	Ban	Bce	Bth	Bwe	Bcl	Bha	Profile11
ids.tab	BG10757	BG10757 	NA	RBAM_001500 	NT03BL0140 	BPUM_0111 	BA_0119 	BC_0140 	NT02BT0145 	BcerKBAB4_0114 	NT03BC0196 	BH0143 	
ids.tab	BG10758	BG10758 	NA	RBAM_001510 	NA	BPUM_0112 	BA_0120 	BC_0141 	NT02BT0146 	BcerKBAB4_0115 	NT03BC0197 	BH0144 	
ids.tab	BG10759	BG10759 	NA	RBAM_001520 	NT03BL0141 	BPUM_0113 	BA_0121 	BC_0142 	NT02BT0147 	BcerKBAB4_0116 	NT03BC0198 	BH0145 	
ids.tab	BG10760	BG10760 	NA	RBAM_001530 	NT03BL0142 	BPUM_0114 	BA_0122 	BC_0143 	NT02BT0148 	BcerKBAB4_0117 	NT03BC0199 	BH0146 	
ids.tab	BG10761	BG10761 BG13085 	NA	RBAM_001540 RBAM_009150 	NT03BL1003 NT03BL2359 	BPUM_0115 BPUM_3312 	BA_0123 	BC_0144 	NT02BT0149 	BcerKBAB4_0118 	NT03BC0200 NT03BC4538 	BH0147 	
ids.tab	BG10762	BG10762 	NA	RBAM_001550 	NT03BL0143 	BPUM_0116 	BA_0124 	BC_0145 	NT02BT0150 	BcerKBAB4_0119 	NT03BC0201 	BH0148 	
ids.tab	BG10777	BG10777 	NA	RBAM_015650 	NA	BPUM_1481 	BA_3996 	BC_3856 	NT02BT3840 	BcerKBAB4_3681 	NA	BH2500 	
ids.tab	BG10783	BG10783 	Bmo3325 	RBAM_016590 	NT03BL1992 	BPUM_1579 	BA_3937 	BC_3799 	NT02BT3784 	BcerKBAB4_3570 	NT03BC2536 	BH2401 	Y
ids.tab	BG10785	BG10785 BG11158 	Bmo2791 Bmo3323 Bmo938 	RBAM_005640 RBAM_016610 	NT03BL0282 NT03BL1994 NT03BL3935 	BPUM_0291 BPUM_1581 BPUM_2978 	BA_2832 BA_3935 	BC_2833 BC_3797 	NT02BT2784 NT02BT3782 	BcerKBAB4_2635 BcerKBAB4_3568 	NT03BC0264 NT03BC0546 NT03BC2534 NT03BC3415 NT03BC4077 	BH2399 	Y
ids.tab	BG10795	BG10795 	NA	RBAM_019960 	NT03BL2452 	BPUM_1915 	BA_2237 	BC_2192 	NT02BT2193 	BcerKBAB4_2062 	NT03BC3347 	BH3450 	
